name:en_aa,name:en_var,type_var,unit,2013,2014
Bangladesh,Corporate energy efficiency initiatives,ind,score,0.00000,0.00089
Bangladesh,Corporate emission reduction policies,ind,score,0.00108,0.00196
Bangladesh,Capacity building – env. business training,ind,score,0.03750,0.03750
Bangladesh,Capacity building – think tanks,ind,score,0.03750,0.03750
Barbados,Solar capacity,value,MW,0.00,0.00
Barbados,Wind capacity,value,MW,0.00,0.00
Barbados,Biomass & waste capacity,value,MW,0.00,0.00
Barbados,Geothermal capacity,value,MW,0.00,0.00
Barbados,Small hydro capacity,value,MW,0.00,0.00
Barbados,Large hydro capacity,value,MW,0.00,0.00
Barbados,Nuclear capacity,value,MW,0.00,0.00
Barbados,Coal capacity,value,MW,0.00,0.00
Barbados,Natural gas capacity,value,MW,0.00,0.00
Barbados,Oil & diesel capacity,value,MW,239.10,239.10
Barbados,Other fossil fuels capacity,value,MW,0.00,0.00
Barbados,All capacity,value,MW,239.10,239.10
Barbados,Clean energy installed capacity,value,MW,0.00,0.00
Barbados,Growth rate of clean energy installed capacity,value,%,0.00,0.00
Barbados,Solar generation,value,GWh,0.00,0.00
Barbados,Wind generation,value,GWh,0.00,0.00
Barbados,Biomass & waste generation,value,GWh,0.00,0.00
Barbados,Geothermal generation,value,GWh,0.00,0.00
Barbados,Small hydro generation,value,GWh,0.00,0.00
Barbados,Large hydro generation,value,GWh,0.00,0.00
Barbados,Nuclear generation,value,GWh,0.00,0.00
Barbados,Coal generation,value,GWh,0.00,0.00
Barbados,Natural gas generation,value,GWh,0.00,0.00
Barbados,Oil & diesel generation,value,GWh,1013.00,1013.00
Barbados,Other fossil fuels generation,value,GWh,0.00,0.00
Barbados,All generation,value,GWh,1013.00,1013.00
Barbados,Clean energy electricity generation,value,GWh,0.00,0.00
Barbados,Growth rate of clean energy electricity generation,value,%,0.00,0.00
Barbados,Biofuels production,value,bn litres,0.00,0.00
Barbados,Growth rate biofuels production,value,%,0.00,0.00
Barbados,Average retail electricity prices,value,USD/MWh,373.09,373.26
Barbados,Average residential electricity prices,value,USD/MWh,354.14,354.31
Barbados,Average commercial electricity prices,value,USD/MWh,397.61,397.78
Barbados,Average industrial electricity prices,value,USD/MWh,367.51,367.68
Barbados,Average electricity spot prices,value,USD/MWh,0.00,0.00
Barbados,Average kerosene prices,value,USD/litre,0.00,0.00
Barbados,Average diesel prices,value,USD/litre,0.00,0.00
Barbados,Power demand,value,MW,156.70,156.70
Barbados,Growth rate of power demand,value,%,-0.44,0.00
Barbados,Electrification rate,value,%,100.00,100.00
Barbados,Population using solid fuels for cooking,value,%,0.00,0.00
Barbados,Clean energy investments,value,USDm,0.00,0.00
Barbados,Growth rate of clean energy investments,value,%,0.00,0.00
Barbados,Asset finance investments,value,USDm,0.00,0.00
Barbados,Corporate finance investments,value,USDm,0.00,0.00
Barbados,VC/PE investments,value,USDm,0.00,0.00
Barbados,"Loans, grants, grant programs",value,USDm,7.32,0.10
Barbados,Local investments,value,USDm,0.00,0.00
Barbados,Average cost of debt,value,%,8.70,8.38
Barbados,Swap rate,value,%,7.00,7.00
Barbados,Score,score,score,0.78556,0.64233
Barbados,Enabling framework,param,score,0.76127,0.74118
Barbados,Clean energy policies,ind,score,0.07209,0.07244
Barbados,Power sector structure,ind,score,0.03750,0.04909
Barbados,Distributed energy regulatory framework,ind,score,0.00000,0.00000
Barbados,Clean energy rural electrification,ind,score,0.04000,0.04000
Barbados,Energy access policies,ind,score,0.00000,0.00000
Barbados,Policy barriers,ind,score,0.00250,0.00198
Barbados,Clean energy installed capacity,ind,score,0.00000,0.00000
Barbados,Growth rate of installed capacity,ind,score,0.00000,0.00000
Barbados,Clean energy electricity generation,ind,score,0.00000,0.00000
Barbados,Growth rate of electricity generation,ind,score,0.00000,0.00000
Barbados,Biofuels production,ind,score,0.00000,0.00000
Barbados,Growth rate biofuels production,ind,score,0.00000,0.00000
Barbados,Average electricity spot prices,ind,score,0.00000,0.00000
Barbados,Average retail electricity prices,ind,score,0.15079,0.13097
Barbados,Average residential electricity prices,ind,score,0.00000,0.00000
Barbados,Average commercial electricity prices,ind,score,0.00000,0.00000
Barbados,Average industrial electricity prices,ind,score,0.00000,0.00000
Barbados,Average kerosene prices,ind,score,0.00000,0.00000
Barbados,Average diesel prices,ind,score,0.00000,0.00000
Barbados,Growth rate of power demand,ind,score,0.00000,0.00000
Barbados,Electrification rate,ind,score,0.00163,0.00200
Barbados,Population using solid fuels for cooking,ind,score,0.00000,0.00000
Barbados,Financing and Investments,param,score,0.87982,0.36340
Barbados,Clean energy investments,ind,score,0.00160,0.00000
Barbados,Growth rate of clean energy investments,ind,score,0.00000,0.00000
Barbados,Asset finance investments,ind,score,0.00000,0.00000
Barbados,Corporate finance investments,ind,score,0.00000,0.00000
Barbados,VC/PE investments,ind,score,0.00000,0.00000
Barbados,"Loans, grants, grant programs",ind,score,0.15000,0.00036
Barbados,Local investments,ind,score,0.00000,0.00000
Barbados,Number of Green MFI,ind,score,0.00000,0.00000
Barbados,Green micro-loans,ind,score,0.00000,0.00000
Barbados,Green micro-borrowers,ind,score,0.00000,0.00000
Barbados,Average cost of green micro debt,ind,score,0.00000,0.00000
Barbados,Average cost of debt,ind,score,0.06226,0.05402
Barbados,Swap rate,ind,score,0.05009,0.05464
Barbados,Value chains,param,score,0.88487,1.01645
Barbados,Financial institutions in clean energy,ind,score,0.07500,0.07500
Barbados,Value chains by clean energy sector,ind,score,0.02961,0.04934
Barbados,Distributed clean energy value chains by sector,ind,score,0.00000,0.00000
Barbados,Clean energy service providers,ind,score,0.02813,0.02813
Barbados,Distributed clean energy service providers,ind,score,0.00000,0.00000
Barbados,GHG management,param,score,0.56250,0.56250
Barbados,Carbon offsets historical activity,ind,score,0.00000,0.00000
Barbados,CDM risk,ind,score,0.00000,0.00000
Barbados,Carbon offsets future potential,ind,score,0.00000,0.00000
Barbados,GHG emissions reduction target,ind,score,0.00000,0.00000
Barbados,GHG country registry,ind,score,0.00000,0.00000
Barbados,GHG market-based instruments,ind,score,0.00000,0.00000
Barbados,PMR & NAMA,ind,score,0.00938,0.00938
Barbados,Voluntary GHG reporting by corporates,ind,score,0.00000,0.00000
Barbados,Investor pressure – PRI signatories,ind,score,0.00000,0.00000
Barbados,Corporate energy efficiency initiatives,ind,score,0.00000,0.00000
Barbados,Corporate emission reduction policies,ind,score,0.00000,0.00000
Barbados,Capacity building – env. business training,ind,score,0.03750,0.03750
Barbados,Capacity building – think tanks,ind,score,0.03750,0.03750
Belize,Solar capacity,value,MW,0.48,0.48
Belize,Wind capacity,value,MW,0.00,0.00
Belize,Biomass & waste capacity,value,MW,31.50,31.50
Belize,Geothermal capacity,value,MW,0.00,0.00
Belize,Small hydro capacity,value,MW,54.30,54.30
Belize,Large hydro capacity,value,MW,0.00,0.00
Belize,Nuclear capacity,value,MW,0.00,0.00
Belize,Coal capacity,value,MW,0.00,0.00
Belize,Natural gas capacity,value,MW,0.00,0.00
Belize,Oil & diesel capacity,value,MW,68.50,68.50
Belize,Other fossil fuels capacity,value,MW,0.00,0.00
Belize,All capacity,value,MW,154.78,154.78
Belize,Clean energy installed capacity,value,MW,86.28,86.28
Belize,Growth rate of clean energy installed capacity,value,%,0.00,0.00
Belize,Solar generation,value,GWh,0.58,0.58
Belize,Wind generation,value,GWh,0.00,0.00
Belize,Biomass & waste generation,value,GWh,48.85,46.72
Belize,Geothermal generation,value,GWh,0.00,0.00
Belize,Small hydro generation,value,GWh,258.63,268.86
Belize,Large hydro generation,value,GWh,0.00,0.00
Belize,Nuclear generation,value,GWh,0.00,0.00
Belize,Coal generation,value,GWh,0.00,0.00
Belize,Natural gas generation,value,GWh,0.00,0.00
Belize,Oil & diesel generation,value,GWh,19.54,36.65
Belize,Other fossil fuels generation,value,GWh,0.00,0.00
Belize,All generation,value,GWh,327.60,352.80
Belize,Clean energy electricity generation,value,GWh,308.06,316.16
Belize,Growth rate of clean energy electricity generation,value,%,12.70,2.63
Belize,Biofuels production,value,bn litres,0.00,0.00
Belize,Growth rate biofuels production,value,%,0.00,0.00
Belize,Average retail electricity prices,value,USD/MWh,201.61,198.71
Belize,Average residential electricity prices,value,USD/MWh,224.01,219.96
Belize,Average commercial electricity prices,value,USD/MWh,224.01,221.21
Belize,Average industrial electricity prices,value,USD/MWh,156.81,154.97
Belize,Average electricity spot prices,value,USD/MWh,0.00,0.00
Belize,Average kerosene prices,value,USD/litre,0.00,0.00
Belize,Average diesel prices,value,USD/litre,0.00,0.00
Belize,Power demand,value,MW,84.20,84.20
Belize,Growth rate of power demand,value,%,2.69,0.00
Belize,Electrification rate,value,%,90.00,90.00
