name:es_aa,name:es_var,type_var,2014
Brasil,Puntaje,score,2.133
Brasil,Marco Propicio,param,2.128
Brasil,Es...Clean energy policies,ind,0.269
Brasil,Es...Power sector structure,ind,0.169
Brasil,Es...Distributed energy regulatory framework,ind,0.0
Brasil,Es...Clean energy rural electrification,ind,0.04
Brasil,Es...Energy access policies,ind,0.0
Brasil,Es...Policy barriers,ind,0.002
Brasil,Es...Clean energy installed capacity,ind,0.036
Brasil,Es...Growth rate of installed capacity,ind,0.0
Brasil,Es...Clean energy electricity generation,ind,0.014
Brasil,Es...Growth rate of electricity generation,ind,0.0
Brasil,Es...Biofuels production,ind,0.08
Brasil,Es...Growth rate biofuels production,ind,0.08
Brasil,Es...Average electricity spot prices,ind,0.1
Brasil,Es...Average retail electricity prices,ind,0.023
Brasil,Es...Average residential electricity prices,ind,0.0
Brasil,Es...Average commercial electricity prices,ind,0.0
Brasil,Es...Average industrial electricity prices,ind,0.0
Brasil,Es...Average kerosene prices,ind,0.0
Brasil,Es...Average diesel prices,ind,0.0
Brasil,Es...Growth rate of power demand,ind,0.035
Brasil,Es...Electrification rate,ind,0.002
Brasil,Es...Population using solid fuels for cooking,ind,0.0
Brasil,Financiamiento y Inversión,param,0.577
Brasil,Es...Clean energy investments,ind,0.046
Brasil,Es...Growth rate of clean energy investments,ind,0.02
Brasil,Es...Asset finance investments,ind,0.0
Brasil,Es...Corporate finance investments,ind,0.0
Brasil,Es...VC/PE investments,ind,0.0
Brasil,"Es...Loans, grants, grant programs",ind,0.002
Brasil,Es...Local investments,ind,0.024
Brasil,Es...Number of Green MFI,ind,0.013
Brasil,Es...Green micro-loans,ind,0.0
Brasil,Es...Green micro-borrowers,ind,0.0
Brasil,Es...Average cost of green micro debt,ind,0.017
Brasil,Es...Average cost of debt,ind,0.02
Brasil,Es...Swap rate,ind,0.032
Brasil,Cadenas de valor,param,4.158
Brasil,Es...Financial institutions in clean energy,ind,0.15
Brasil,Es...Value chains by clean energy sector,ind,0.286
Brasil,Es...Distributed clean energy value chains by sector,ind,0.0
Brasil,Es...Clean energy service providers,ind,0.188
Brasil,Es...Distributed clean energy service providers,ind,0.0
Brasil,Gestión de GEI,param,3.237
Brasil,Es...Carbon offsets historical activity,ind,0.075
Brasil,Es...CDM risk,ind,0.05
Brasil,Es...Carbon offsets future potential,ind,0.029
Brasil,Es...GHG emissions reduction target,ind,0.094
Brasil,Es...GHG country registry,ind,0.056
Brasil,Es...GHG market-based instruments,ind,0.0
Brasil,Es...PMR & NAMA,ind,0.028
Brasil,Es...Voluntary GHG reporting by corporates,ind,0.013
Brasil,Es...Investor pressure – PRI signatories,ind,0.038
Brasil,Es...Corporate energy efficiency initiatives,ind,0.014
Brasil,Es...Corporate emission reduction policies,ind,0.014
Brasil,Es...Capacity building – env. business training,ind,0.038
Brasil,Es...Capacity building – think tanks,ind,0.038
Brasil,Es...Global rank,rank,2.0
Brasil,Es...Regional rank,rank,1.0
Bahamas,Puntaje,score,0.527
Bahamas,Marco Propicio,param,0.466
Bahamas,Es...Clean energy policies,ind,0.0
Bahamas,Es...Power sector structure,ind,0.04
Bahamas,Es...Distributed energy regulatory framework,ind,0.0
Bahamas,Es...Clean energy rural electrification,ind,0.0
Bahamas,Es...Energy access policies,ind,0.0
Bahamas,Es...Policy barriers,ind,0.001
Bahamas,Es...Clean energy installed capacity,ind,0.0
Bahamas,Es...Growth rate of installed capacity,ind,0.0
Bahamas,Es...Clean energy electricity generation,ind,0.0
Bahamas,Es...Growth rate of electricity generation,ind,0.0
